"x"	"y"	"z"	"r"	"g"	"b"	"a"
"378"	-0.128319	0.0623884	0.513887	110	95	57	255
"379"	-0.106135	0.0620136	0.530698	143	128	90	255
"380"	-0.105643	0.064512	0.5517	127	112	74	255
"381"	-0.106153	0.0690731	0.588779	127	112	74	255
"382"	-0.193598	0.0732802	0.562527	157	145	102	255
"383"	-0.18915	0.0712203	0.549265	152	144	100	255
"384"	-0.186933	0.0708456	0.548143	152	142	107	255
"385"	-0.184543	0.0703321	0.546009	111	100	67	255
"386"	-0.155498	0.0600812	0.486337	151	138	100	255
"387"	-0.153177	0.0594565	0.483206	142	128	94	255
"388"	-0.147149	0.0584043	0.479872	158	146	105	255
"389"	-0.14515	0.0580547	0.478761	157	144	106	255
"390"	-0.143425	0.0579747	0.479668	138	125	88	255
"391"	-0.141958	0.0581624	0.482592	85	70	33	255
"392"	-0.140475	0.0583482	0.485515	143	125	89	255
"393"	-0.130956	0.0611755	0.518039	159	144	106	255
"394"	-0.128663	0.0605537	0.51491	147	132	94	255
"395"	-0.108623	0.0606147	0.53384	160	148	105	255
"396"	-0.106377	0.0599977	0.530713	161	148	111	255
"397"	-0.106038	0.062694	0.553726	143	130	93	255
"398"	-0.107254	0.0684251	0.600858	157	144	106	255
"399"	-0.194964	0.072022	0.568612	155	143	100	255
"400"	-0.189947	0.069583	0.552315	155	145	104	255
"401"	-0.187721	0.06921	0.551192	153	142	107	255
"402"	-0.18479	0.0682905	0.546024	115	103	70	255
"403"	-0.156179	0.0585958	0.489381	159	145	104	255
"404"	-0.153552	0.0577115	0.48423	116	101	63	255
"405"	-0.151244	0.0570963	0.481099	134	119	81	255
"406"	-0.147094	0.0562688	0.477868	158	146	105	255
"407"	-0.145375	0.0561866	0.478775	157	144	107	255
"408"	-0.143516	0.055972	0.478673	109	96	59	255
"409"	-0.14192	0.0560203	0.480589	88	74	40	255
"410"	-0.140314	0.0560674	0.482504	142	128	94	255
"411"	-0.131748	0.0598437	0.523092	160	148	107	255
"412"	-0.129332	0.0590995	0.518954	159	147	106	255
"413"	-0.127359	0.0588715	0.518846	96	82	41	255
"414"	-0.108552	0.0580894	0.529833	156	145	107	255
"415"	-0.106543	0.0578566	0.529723	154	143	108	255
"416"	-0.106725	0.0613637	0.559774	154	143	108	255
"417"	-0.108293	0.0675876	0.611933	157	146	109	255
"418"	-0.197264	0.0714063	0.579756	154	142	99	255
"419"	-0.190011	0.0673906	0.551319	155	143	102	255
"420"	-0.187607	0.0668861	0.549185	156	143	106	255
"421"	-0.184502	0.0658465	0.543006	125	111	77	255
"422"	-0.187918	0.0697598	0.574237	125	111	77	255
"423"	-0.157466	0.0576179	0.496463	157	143	100	255
"424"	-0.154522	0.0564835	0.489292	100	86	45	255
"425"	-0.152345	0.0560051	0.48717	137	120	82	255
"426"	-0.146195	0.0533654	0.469809	157	144	106	255
"427"	-0.146014	0.0547067	0.481816	157	144	106	255
"428"	-0.144011	0.0543619	0.480705	146	132	98	255
"429"	-0.142411	0.0544041	0.48262	90	79	44	255
"430"	-0.129787	0.0573715	0.520983	159	147	104	255
"431"	-0.127598	0.0568913	0.518861	115	101	60	255
"432"	-0.108715	0.0559532	0.528842	156	145	108	255
"433"	-0.107013	0.0562097	0.532754	146	132	99	255
"434"	-0.107417	0.0600007	0.565823	146	132	99	255
"435"	-0.10948	0.0669338	0.625018	155	144	109	255
"436"	-0.204649	0.0705421	0.584168	155	141	98	255
"437"	-0.200028	0.0685685	0.570897	153	141	98	255
"438"	-0.200962	0.0704485	0.58697	155	141	98	255
"439"	-0.197335	0.0691435	0.57876	160	144	101	255
"440"	-0.190626	0.0655994	0.553358	157	143	102	255
"441"	-0.187854	0.0648362	0.5492	159	142	104	255
"442"	-0.184747	0.0638127	0.543022	142	125	87	255
"443"	-0.187997	0.0675112	0.573242	142	125	87	255
"444"	-0.158829	0.0552811	0.491532	156	145	100	255
"445"	-0.158758	0.0566022	0.503545	159	145	102	255
"446"	-0.155346	0.0551004	0.493344	99	85	44	255
"447"	-0.153012	0.0544984	0.490212	129	112	74	255
"448"	-0.147403	0.0524106	0.476887	156	144	103	255
"449"	-0.14624	0.0528301	0.48183	156	145	108	255
"450"	-0.144102	0.0523615	0.47971	142	131	96	255
"451"	-0.142638	0.0525246	0.482634	91	79	46	255
"452"	-0.131004	0.0564957	0.530065	160	148	105	255
"453"	-0.128366	0.055526	0.523912	164	150	107	255
"454"	-0.126482	0.0554187	0.52481	105	91	50	255
"455"	-0.111208	0.0545352	0.531985	159	146	108	255
"456"	-0.108799	0.0537023	0.526846	153	139	105	255
"457"	-0.107332	0.0543073	0.533775	143	129	95	255
"458"	-0.110462	0.0658527	0.635088	156	143	106	255
"459"	-0.20179	0.0663124	0.567991	152	138	95	255
"460"	-0.198169	0.0650297	0.559781	157	141	98	255
"461"	-0.195916	0.0646614	0.558657	160	142	99	255
"462"	-0.196284	0.0661082	0.571695	158	140	97	255
"463"	-0.191611	0.0640559	0.557419	157	139	96	255
"464"	-0.188646	0.0631731	0.55225	161	142	102	255
"465"	-0.185707	0.0622933	0.547082	147	130	90	255
"466"	-0.188956	0.0659097	0.577302	132	115	77	255
"467"	-0.159599	0.0551717	0.507599	160	146	103	255
